trial	type	block	visual_target	motor_target	rt	onset	duration	made_errors
1	R	1	3	3	0.000000	2.015609	0.834525	1
2	R	1	4	4	0.000000	2.865402	0.834644	1
3	R	1	1	1	0.000000	3.714542	0.835502	1
4	R	1	2	2	0.000000	4.564653	0.835368	1
5	R	1	1	1	0.000000	5.414525	0.835580	1
6	R	1	4	4	0.000000	6.264305	0.835705	1
7	R	1	3	3	0.000000	7.114007	0.836162	1
8	R	1	2	2	0.000000	7.963600	0.836537	1
9	R	1	4	4	0.000000	8.813053	0.837035	1
10	R	1	2	2	0.000000	9.663182	0.836844	1
11	R	1	3	3	0.000000	10.512136	0.838042	1
12	R	1	1	1	0.000000	11.361711	0.838371	1
13	R	1	3	3	0.000000	12.211788	0.838352	1
14	R	1	1	1	0.000000	13.062023	0.838047	1
15	R	1	2	2	0.000000	13.911561	0.838614	1
16	R	1	4	4	0.000000	14.760798	0.839312	1
17	R	1	3	3	0.000000	15.611131	0.838958	1
18	R	1	4	4	0.000000	16.460720	0.839290	1
19	R	1	2	2	0.000000	17.309890	0.840123	1
20	R	1	1	1	0.000000	18.159932	0.840229	1
21	R	1	3	3	0.000000	19.009388	0.840777	1
22	R	1	1	1	0.000000	19.859686	0.840401	1
23	R	1	2	2	0.000000	20.709045	0.841094	1
24	R	1	4	4	0.000000	21.558881	0.841258	1
1	S	2	2	2	0.000000	36.403771	0.846360	1
2	S	2	3	3	0.000000	37.253172	0.846995	1
3	S	2	1	1	0.000000	38.103365	0.846759	1
4	S	2	4	4	0.000000	38.969120	0.830955	1
5	S	2	3	3	0.000000	39.803115	0.846927	1
6	S	2	2	2	0.000000	40.668939	0.831177	1
7	S	2	4	4	0.000000	41.519231	0.830949	1
8	S	2	1	1	0.000000	42.368290	0.831711	1
9	S	2	3	3	0.000000	43.218354	0.831803	1
10	S	2	4	4	0.000000	44.067854	0.832209	1
11	S	2	2	2	0.000000	44.917666	0.832515	1
12	S	2	1	1	0.000000	45.767419	0.832632	1
13	S	2	2	2	0.000000	46.616843	0.833314	1
14	S	2	3	3	0.000000	47.466858	0.833240	1
15	S	2	1	1	0.000000	48.316810	0.833354	1
16	S	2	4	4	0.000000	49.166536	0.833588	1
17	S	2	3	3	0.000000	50.015874	0.834262	1
18	S	2	2	2	0.000000	50.865405	0.834708	1
19	S	2	4	4	0.000000	51.715598	0.834459	1
20	S	2	1	1	0.000000	52.564918	0.835139	1
21	S	2	3	3	0.000000	53.415064	0.834990	1
22	S	2	4	4	0.000000	54.264714	0.835332	1
23	S	2	2	2	0.000000	55.114185	0.835926	1
24	S	2	1	1	0.000000	55.963693	0.836376	1
25	S	2	2	2	0.000000	56.813418	0.836694	1
26	S	2	3	3	0.000000	57.663471	0.836680	1
27	S	2	1	1	0.000000	58.513202	0.836838	1
28	S	2	4	4	0.000000	59.363015	0.837091	1
29	S	2	3	3	0.000000	60.212890	0.837174	1
30	S	2	2	2	0.000000	61.062293	0.837879	1
31	S	2	4	4	0.000000	61.912222	0.837789	1
32	S	2	1	1	0.000000	62.761666	0.838400	1
33	S	2	3	3	0.000000	63.611546	0.838549	1
34	S	2	4	4	0.000000	64.460769	0.839243	1
35	S	2	2	2	0.000000	65.310920	0.839138	1
36	S	2	1	1	0.000000	66.160681	0.839452	1
37	S	2	2	2	0.000000	67.010147	0.839875	1
38	S	2	3	3	0.000000	67.860173	0.839850	1
39	S	2	1	1	0.000000	68.709652	0.840534	1
40	S	2	4	4	0.000000	69.559230	0.840907	1
41	S	2	3	3	0.000000	70.409006	0.841176	1
42	S	2	2	2	0.000000	71.259195	0.840811	1
43	S	2	4	4	0.000000	72.108806	0.841216	1
44	S	2	1	1	0.000000	72.958158	0.841898	1
45	S	2	3	3	0.000000	73.807565	0.842475	1
46	S	2	4	4	0.000000	74.657740	0.842396	1
47	S	2	2	2	0.000000	75.507634	0.842437	1
48	S	2	1	1	0.000000	76.357577	0.842572	1
49	S	2	2	2	0.000000	77.206957	0.843122	1
50	S	2	3	3	0.000000	78.057049	0.843108	1
51	S	2	1	1	0.000000	78.906246	0.843870	1
52	S	2	4	4	0.000000	79.756239	0.843955	1
53	S	2	3	3	0.000000	80.605804	0.844208	1
54	S	2	2	2	0.000000	81.455382	0.844657	1
55	S	2	4	4	0.000000	82.305328	0.844736	1
56	S	2	1	1	0.000000	83.155046	0.844981	1
57	S	2	3	3	0.000000	84.005076	0.844984	1
58	S	2	4	4	0.000000	84.854734	0.845303	1
59	S	2	2	2	0.000000	85.704142	0.845939	1
60	S	2	1	1	0.000000	86.553921	0.846210	1
61	S	2	2	2	0.000000	87.403356	0.846818	1
62	S	2	3	3	0.000000	88.253329	0.846731	1
63	S	2	1	1	0.000000	89.119569	0.830492	1
64	S	2	4	4	0.000000	89.969618	0.830457	1
65	S	2	3	3	0.000000	90.819126	0.831052	1
66	S	2	2	2	0.000000	91.669039	0.831069	1
67	S	2	4	4	0.000000	92.518470	0.831625	1
68	S	2	1	1	0.000000	93.367729	0.832445	1
69	S	2	3	3	0.000000	94.217946	0.832135	1
70	S	2	4	4	0.000000	95.067725	0.832307	1
71	S	2	2	2	0.000000	95.917100	0.833013	1
72	S	2	1	1	0.000000	96.766789	0.833313	1
1	R	3	2	2	0.000000	111.612304	0.837804	1
2	R	3	1	1	0.000000	112.461450	0.838551	1
3	R	3	4	4	0.000000	113.311640	0.838371	1
4	R	3	3	3	0.000000	114.160879	0.839266	1
5	R	3	4	4	0.000000	115.010951	0.839078	1
6	R	3	1	1	0.000000	115.860657	0.839447	1
7	R	3	2	2	0.000000	116.710451	0.839590	1
8	R	3	3	3	0.000000	117.559796	0.840299	1
9	R	3	1	1	0.000000	118.410004	0.840006	1
10	R	3	3	3	0.000000	119.259475	0.840705	1
11	R	3	2	2	0.000000	120.109189	0.840937	1
12	R	3	4	4	0.000000	120.958634	0.841543	1
13	R	3	2	2	0.000000	121.808346	0.841674	1
14	R	3	4	4	0.000000	122.658573	0.841523	1
15	R	3	3	3	0.000000	123.508216	0.841878	1
16	R	3	1	1	0.000000	124.357953	0.842131	1
17	R	3	2	2	0.000000	125.206990	0.843078	1
18	R	3	1	1	0.000000	126.056655	0.843530	1
19	R	3	3	3	0.000000	126.907027	0.843146	1
20	R	3	4	4	0.000000	127.756512	0.843530	1
21	R	3	1	1	0.000000	128.606648	0.843419	1
22	R	3	3	3	0.000000	129.456026	0.844086	1
23	R	3	4	4	0.000000	130.305572	0.844456	1
24	R	3	2	2	0.000000	131.155301	0.844726	1
1	T	4	2	3	0.000000	146.017137	0.833014	1
2	T	4	1	2	0.000000	146.866655	0.833442	1
3	T	4	3	4	0.000000	147.716004	0.834015	1
4	T	4	4	1	0.000000	148.566174	0.833852	1
5	T	4	3	4	0.000000	149.415373	0.834743	1
6	T	4	1	2	0.000000	150.265539	0.834634	1
7	T	4	4	1	0.000000	151.115204	0.834938	1
8	T	4	2	3	0.000000	151.964869	0.835307	1
9	T	4	4	1	0.000000	152.814876	0.835158	1
10	T	4	1	2	0.000000	153.664293	0.835795	1
11	T	4	2	3	0.000000	154.514358	0.835810	1
12	T	4	3	4	0.000000	155.364174	0.835993	1
13	T	4	4	1	0.000000	156.213927	0.836094	1
14	T	4	3	4	0.000000	157.062939	0.837152	1
15	T	4	1	2	0.000000	157.913107	0.837037	1
16	T	4	2	3	0.000000	158.762917	0.837154	1
17	T	4	4	1	0.000000	159.612525	0.837633	1
18	T	4	3	4	0.000000	160.461582	0.838458	1
19	T	4	1	2	0.000000	161.312145	0.837991	1
20	T	4	2	3	0.000000	162.161497	0.838608	1
21	T	4	3	4	0.000000	163.011321	0.838769	1
22	T	4	2	3	0.000000	163.860920	0.839237	1
23	T	4	1	2	0.000000	164.710654	0.839501	1
24	T	4	4	1	0.000000	165.560410	0.839736	1
25	T	4	2	3	0.000000	166.410059	0.840105	1
26	T	4	1	2	0.000000	167.259286	0.840878	1
27	T	4	4	1	0.000000	168.109782	0.840254	1
28	T	4	3	4	0.000000	168.959243	0.840906	1
29	T	4	4	1	0.000000	169.808876	0.841126	1
30	T	4	2	3	0.000000	170.658796	0.841346	1
31	T	4	1	2	0.000000	171.508432	0.841714	1
32	T	4	3	4	0.000000	172.358424	0.841670	1
33	T	4	1	2	0.000000	173.207781	0.842313	1
34	T	4	4	1	0.000000	174.057860	0.842254	1
35	T	4	3	4	0.000000	174.907236	0.842885	1
36	T	4	2	3	0.000000	175.757410	0.842712	1
37	T	4	3	4	0.000000	176.607003	0.843086	1
38	T	4	1	2	0.000000	177.456911	0.843136	1
39	T	4	4	1	0.000000	178.306249	0.843794	1
40	T	4	2	3	0.000000	179.156110	0.843900	1
41	T	4	4	1	0.000000	180.005611	0.844515	1
42	T	4	1	2	0.000000	180.855504	0.844673	1
43	T	4	2	3	0.000000	181.704781	0.845242	1
44	T	4	3	4	0.000000	182.554898	0.845144	1
45	T	4	1	2	0.000000	183.404657	0.845498	1
46	T	4	4	1	0.000000	184.254379	0.845690	1
47	T	4	3	4	0.000000	185.104044	0.846101	1
48	T	4	2	3	0.000000	185.953138	0.847011	1
49	T	4	4	1	0.000000	186.803140	0.846880	1
50	T	4	2	3	0.000000	187.653198	0.846973	1
51	T	4	3	4	0.000000	188.519435	0.830742	1
52	T	4	1	2	0.000000	189.369368	0.830714	1
53	T	4	4	1	0.000000	190.218705	0.831441	1
54	T	4	1	2	0.000000	191.068476	0.831527	1
55	T	4	2	3	0.000000	191.918604	0.831573	1
56	T	4	3	4	0.000000	192.768233	0.831971	1
57	T	4	1	2	0.000000	193.617974	0.832079	1
58	T	4	2	3	0.000000	194.466899	0.833227	1
59	T	4	3	4	0.000000	195.316862	0.833272	1
60	T	4	4	1	0.000000	196.166683	0.833345	1
61	T	4	3	4	0.000000	197.016730	0.833416	1
62	T	4	1	2	0.000000	197.866102	0.833989	1
63	T	4	4	1	0.000000	198.716282	0.833897	1
64	T	4	2	3	0.000000	199.565577	0.834461	1
65	T	4	1	2	0.000000	200.415649	0.834481	1
66	T	4	4	1	0.000000	201.265454	0.834622	1
67	T	4	2	3	0.000000	202.115106	0.835034	1
