event	type	value	time
0	start	start	42340.365985
1	cue	R	0.016086
2	R	3	2.015609
3	removal	3	2.615131
4	R	4	2.865402
5	removal	4	3.465144
6	R	1	3.714542
7	removal	1	4.314614
8	R	2	4.564653
9	removal	2	5.163726
10	R	1	5.414525
11	removal	1	6.014301
12	R	4	6.264305
13	removal	4	6.863135
14	R	3	7.114007
15	removal	3	7.713729
16	R	2	7.963600
17	removal	2	8.563547
18	R	4	8.813053
19	removal	4	9.412709
20	R	2	9.663182
21	removal	2	10.262480
22	R	3	10.512136
23	removal	3	11.111976
24	R	1	11.361711
25	removal	1	11.961719
26	R	3	12.211788
27	removal	3	12.812168
28	R	1	13.062023
29	removal	1	13.661582
30	R	2	13.911561
31	removal	2	14.510788
32	R	4	14.760798
33	removal	4	15.360744
34	R	3	15.611131
35	removal	3	16.210995
36	R	4	16.460720
37	removal	4	17.060070
38	R	2	17.309890
39	removal	2	17.910375
40	R	1	18.159932
41	removal	1	18.759622
42	R	3	19.009388
43	removal	3	19.609453
44	R	1	19.859686
45	removal	1	20.459620
46	R	2	20.709045
47	removal	2	21.309300
48	R	4	21.558881
49	removal	4	22.158679
50	rest	+	22.408825
51	cue	S	34.404808
52	S	2	36.403771
53	removal	2	37.003572
54	S	3	37.253172
55	removal	3	37.852828
56	S	1	38.103365
57	removal	1	38.702573
58	S	4	38.969120
59	removal	4	39.569849
60	S	3	39.803115
61	removal	3	40.419438
62	S	2	40.668939
63	removal	2	41.268893
64	S	4	41.519231
65	removal	4	42.118059
66	S	1	42.368290
67	removal	1	42.968586
68	S	3	43.218354
69	removal	3	43.817577
70	S	4	44.067854
71	removal	4	44.667302
72	S	2	44.917666
73	removal	2	45.517611
74	S	1	45.767419
75	removal	1	46.367429
76	S	2	46.616843
77	removal	2	47.217234
78	S	3	47.466858
79	removal	3	48.066504
80	S	1	48.316810
81	removal	1	48.916463
82	S	4	49.166536
83	removal	4	49.766176
84	S	3	50.015874
85	removal	3	50.615782
86	S	2	50.865405
87	removal	2	51.465377
88	S	4	51.715598
89	removal	4	52.315346
90	S	1	52.564918
91	removal	1	53.164921
92	S	3	53.415064
93	removal	3	54.014624
94	S	4	54.264714
95	removal	4	54.864461
96	S	2	55.114185
97	removal	2	55.714208
98	S	1	55.963693
99	removal	1	56.563809
100	S	2	56.813418
101	removal	2	57.413199
102	S	3	57.663471
103	removal	3	58.262974
104	S	1	58.513202
105	removal	1	59.113289
106	S	4	59.363015
107	removal	4	59.962286
108	S	3	60.212890
109	removal	3	60.812018
110	S	2	61.062293
111	removal	2	61.661585
112	S	4	61.912222
113	removal	4	62.511693
114	S	1	62.761666
115	removal	1	63.361623
116	S	3	63.611546
117	removal	3	64.211142
118	S	4	64.460769
119	removal	4	65.060747
120	S	2	65.310920
121	removal	2	65.910943
122	S	1	66.160681
123	removal	1	66.760414
124	S	2	67.010147
125	removal	2	67.610025
126	S	3	67.860173
127	removal	3	68.459728
128	S	1	68.709652
129	removal	1	69.309837
130	S	4	69.559230
131	removal	4	70.159154
132	S	3	70.409006
133	removal	3	71.008782
134	S	2	71.259195
135	removal	2	71.858944
136	S	4	72.108806
137	removal	4	72.708723
138	S	1	72.958158
139	removal	1	73.558561
140	S	3	73.807565
141	removal	3	74.408268
142	S	4	74.657740
143	removal	4	75.257977
144	S	2	75.507634
145	removal	2	76.107444
146	S	1	76.357577
147	removal	1	76.957067
148	S	2	77.206957
149	removal	2	77.806993
150	S	3	78.057049
151	removal	3	78.656150
152	S	1	78.906246
153	removal	1	79.506634
154	S	4	79.756239
155	removal	4	80.355687
156	S	3	80.605804
157	removal	3	81.205465
158	S	2	81.455382
159	removal	2	82.055302
160	S	4	82.305328
161	removal	4	82.904974
162	S	1	83.155046
163	removal	1	83.755114
164	S	3	84.005076
165	removal	3	84.604885
166	S	4	84.854734
167	removal	4	85.453926
168	S	2	85.704142
169	removal	2	86.304311
170	S	1	86.553921
171	removal	1	87.153707
172	S	2	87.403356
173	removal	2	88.003154
174	S	3	88.253329
175	removal	3	88.852954
176	S	1	89.119569
177	removal	1	89.719478
178	S	4	89.969618
179	removal	4	90.568601
180	S	3	90.819126
181	removal	3	91.419032
182	S	2	91.669039
183	removal	2	92.268920
184	S	4	92.518470
185	removal	4	93.117813
186	S	1	93.367729
187	removal	1	93.968318
188	S	3	94.217946
189	removal	3	94.818033
190	S	4	95.067725
191	removal	4	95.667363
192	S	2	95.917100
193	removal	2	96.517597
194	S	1	96.766789
195	removal	1	97.366540
196	rest	+	97.617134
197	cue	R	109.612086
198	R	2	111.612304
199	removal	2	112.212128
200	R	1	112.461450
201	removal	1	113.060881
202	R	4	113.311640
203	removal	4	113.911477
204	R	3	114.160879
205	removal	3	114.760458
206	R	4	115.010951
207	removal	4	115.610512
208	R	1	115.860657
209	removal	1	116.460484
210	R	2	116.710451
211	removal	2	117.310394
212	R	3	117.559796
213	removal	3	118.159544
214	R	1	118.410004
215	removal	1	119.009600
216	R	3	119.259475
217	removal	3	119.859482
218	R	2	120.109189
219	removal	2	120.708368
220	R	4	120.958634
221	removal	4	121.558633
222	R	2	121.808346
223	removal	2	122.408501
224	R	4	122.658573
225	removal	4	123.258217
226	R	3	123.508216
227	removal	3	124.108101
228	R	1	124.357953
229	removal	1	124.957608
230	R	2	125.206990
231	removal	2	125.807212
232	R	1	126.056655
233	removal	1	126.656787
234	R	3	126.907027
235	removal	3	127.506799
236	R	4	127.756512
237	removal	4	128.355902
238	R	1	128.606648
239	removal	1	129.205948
240	R	3	129.456026
241	removal	3	130.056127
242	R	4	130.305572
243	removal	4	130.905592
244	R	2	131.155301
245	removal	2	131.755403
246	rest	+	132.004917
247	cue	T	144.017896
248	T	2	146.017137
249	removal	2	146.616824
250	T	1	146.866655
251	removal	1	147.466968
252	T	3	147.716004
253	removal	3	148.316430
254	T	4	148.566174
255	removal	4	149.165998
256	T	3	149.415373
257	removal	3	150.015952
258	T	1	150.265539
259	removal	1	150.865562
260	T	4	151.115204
261	removal	4	151.714814
262	T	2	151.964869
263	removal	2	152.564838
264	T	4	152.814876
265	removal	4	153.414740
266	T	1	153.664293
267	removal	1	154.264264
268	T	2	154.514358
269	removal	2	155.114141
270	T	3	155.364174
271	removal	3	155.963788
272	T	4	156.213927
273	removal	4	156.813633
274	T	3	157.062939
275	removal	3	157.663340
276	T	1	157.913107
277	removal	1	158.512601
278	T	2	158.762917
279	removal	2	159.362766
280	T	4	159.612525
281	removal	4	160.212335
282	T	3	160.461582
283	removal	3	161.061568
284	T	1	161.312145
285	removal	1	161.911353
286	T	2	162.161497
287	removal	2	162.761456
288	T	3	163.011321
289	removal	3	163.611147
290	T	2	163.860920
291	removal	2	164.460600
292	T	1	164.710654
293	removal	1	165.310595
294	T	4	165.560410
295	removal	4	166.160082
296	T	2	166.410059
297	removal	2	167.010160
298	T	1	167.259286
299	removal	1	167.859954
300	T	4	168.109782
301	removal	4	168.709505
302	T	3	168.959243
303	removal	3	169.559240
304	T	4	169.808876
305	removal	4	170.408904
306	T	2	170.658796
307	removal	2	171.258300
308	T	1	171.508432
309	removal	1	172.108363
310	T	3	172.358424
311	removal	3	172.958180
312	T	1	173.207781
313	removal	1	173.808117
314	T	4	174.057860
315	removal	4	174.657736
316	T	3	174.907236
317	removal	3	175.507347
318	T	2	175.757410
319	removal	2	176.356725
320	T	3	176.607003
321	removal	3	177.206818
322	T	1	177.456911
323	removal	1	178.056373
324	T	4	178.306249
325	removal	4	178.905928
326	T	2	179.156110
327	removal	2	179.755857
328	T	4	180.005611
329	removal	4	180.605154
330	T	1	180.855504
331	removal	1	181.454481
332	T	2	181.704781
333	removal	2	182.304614
334	T	3	182.554898
335	removal	3	183.153944
336	T	1	183.404657
337	removal	1	184.004558
338	T	4	184.254379
339	removal	4	184.854025
340	T	3	185.104044
341	removal	3	185.703989
342	T	2	185.953138
343	removal	2	186.553776
344	T	4	186.803140
345	removal	4	187.403423
346	T	2	187.653198
347	removal	2	188.252993
348	T	3	188.519435
349	removal	3	189.119268
350	T	1	189.369368
351	removal	1	189.968624
352	T	4	190.218705
353	removal	4	190.818117
354	T	1	191.068476
355	removal	1	191.668020
356	T	2	191.918604
357	removal	2	192.517693
358	T	3	192.768233
359	removal	3	193.367994
360	T	1	193.617974
361	removal	1	194.217350
362	T	2	194.466899
363	removal	2	195.067062
364	T	3	195.316862
365	removal	3	195.917155
366	T	4	196.166683
367	removal	4	196.766855
368	T	3	197.016730
369	removal	3	197.616122
370	T	1	197.866102
371	removal	1	198.466218
372	T	4	198.716282
373	removal	4	199.315923
374	T	2	199.565577
375	removal	2	200.165653
376	T	1	200.415649
377	removal	1	201.015462
378	T	4	201.265454
379	removal	4	201.864931
380	T	2	202.115106
381	removal	2	202.714885
382	T	3	202.964573
383	removal	3	203.563990
384	T	2	203.814540
385	removal	2	204.414229
386	T	3	204.664061
387	removal	3	205.263864
388	T	4	205.513380
389	removal	4	206.113717
