event	type	value	time
0	start	start	55692.471778
1	cue	R	0.020701
2	R	2	2.016246
0	key	2@	55695.071683
3	removal	2	2.618442
4	R	3	2.868479
0	key	9(	55695.687676
5	removal	3	3.468558
6	R	1	3.718605
0	key	1!	55696.447678
7	removal	1	4.318695
8	R	4	4.568737
0	key	2@	55697.247677
0	key	0)	55697.359705
9	removal	4	5.168816
10	R	3	5.418882
0	key	9(	55698.207744
11	removal	3	6.018949
12	R	2	6.268998
0	key	2@	55699.023710
13	removal	2	6.869095
14	R	4	7.119131
0	key	0)	55699.863708
15	removal	4	7.719213
16	R	1	7.969255
0	key	1!	55700.743713
17	removal	1	8.569357
18	R	2	8.819383
0	key	2@	55701.575678
19	removal	2	9.419455
20	R	1	9.669511
0	key	1!	55702.447680
21	removal	1	10.269607
22	R	3	10.519646
0	key	9(	55703.263708
23	removal	3	11.119724
24	R	4	11.369754
0	key	0)	55704.103710
25	removal	4	11.969856
26	R	1	12.219891
0	key	1!	55705.071709
27	removal	1	12.820008
28	R	2	13.070035
0	key	2@	55705.847708
29	removal	2	13.670122
30	R	4	13.920152
0	key	0)	55706.679711
31	removal	4	14.520247
32	R	3	14.770295
0	key	9(	55707.527706
33	removal	3	15.370396
34	R	4	15.620430
0	key	0)	55708.383680
35	removal	4	16.220506
36	R	3	16.470554
0	key	9(	55709.287708
37	removal	3	17.070658
38	R	1	17.320680
0	key	2@	55710.103710
0	key	1!	55710.207707
39	removal	1	17.920766
40	R	2	18.170806
0	key	2@	55710.975698
41	removal	2	18.770905
42	R	4	19.020935
0	key	0)	55711.759710
43	removal	4	19.621023
44	R	1	19.871056
0	key	1!	55712.639710
45	removal	1	20.471150
46	R	3	20.721182
0	key	9(	55713.463708
47	removal	3	21.321300
48	R	2	21.571330
0	key	2@	55714.319712
49	removal	2	22.171446
50	rest	+	22.421465
51	cue	T	34.421255
52	T	3	36.421509
53	removal	3	37.023664
0	key	0)	55729.535720
54	T	4	37.273739
0	key	1!	55730.231709
55	removal	4	37.873835
56	T	2	38.123859
0	key	9(	55730.951710
57	removal	2	38.723942
58	T	1	38.973981
0	key	2@	55731.839708
59	removal	1	39.574083
60	T	2	39.824113
0	key	9(	55732.647716
61	removal	2	40.424214
62	T	4	40.674236
0	key	1!	55733.535710
63	removal	4	41.274344
64	T	1	41.524396
0	key	2@	55734.263711
65	removal	1	42.124482
66	T	3	42.374504
0	key	0)	55735.207706
67	removal	3	42.974596
68	T	1	43.224647
0	key	2@	55736.047709
69	removal	1	43.824733
70	T	4	44.074749
0	key	1!	55737.047711
71	removal	4	44.674849
72	T	3	44.924883
0	key	0)	55737.831681
73	removal	3	45.524987
74	T	2	45.775015
0	key	9(	55738.719702
75	removal	2	46.375109
76	T	1	46.625161
0	key	2@	55739.447714
77	removal	1	47.225249
78	T	2	47.475289
0	key	9(	55740.343709
79	removal	2	48.075360
80	T	4	48.325432
0	key	1!	55741.151699
81	removal	4	48.925502
82	T	3	49.175550
0	key	0)	55742.111709
83	removal	3	49.775618
84	T	2	50.025692
0	key	9(	55742.943709
85	removal	2	50.625787
86	T	1	50.875812
0	key	1!	55743.671712
87	removal	1	51.475902
88	T	3	51.725946
0	key	0)	55744.607709
89	removal	3	52.326037
90	T	4	52.576074
0	key	1!	55745.575710
91	removal	4	53.176161
92	T	2	53.426214
0	key	9(	55746.423710
93	removal	2	54.026291
94	T	3	54.276314
0	key	0)	55747.183710
95	removal	3	54.876423
96	T	4	55.126444
97	removal	4	55.726534
0	key	1!	55748.183850
98	T	1	55.976605
0	key	2@	55748.847693
99	removal	1	56.576676
100	T	3	56.826718
0	key	0)	55749.679708
101	removal	3	57.426809
102	T	4	57.676843
0	key	1!	55750.623709
103	removal	4	58.276949
104	T	1	58.526980
0	key	2@	55751.463711
105	removal	1	59.127073
106	T	2	59.377108
0	key	9(	55752.239680
107	removal	2	59.960511
108	T	1	60.227223
109	removal	1	60.810656
0	key	2@	55753.295710
110	T	3	61.060693
0	key	0)	55753.951717
111	removal	3	61.660782
112	T	4	61.910833
0	key	1!	55754.903682
113	removal	4	62.510924
114	T	2	62.760954
0	key	9(	55755.727713
115	removal	2	63.361039
116	T	4	63.611078
0	key	1!	55756.551708
117	removal	4	64.211175
118	T	1	64.461228
0	key	9(	55757.343709
119	removal	1	65.061308
120	T	2	65.311351
0	key	9(	55758.231706
121	removal	2	65.911446
122	T	3	66.161498
0	key	0)	55759.071709
123	removal	3	66.761593
124	T	1	67.011634
0	key	2@	55759.847689
125	removal	1	67.611717
126	T	3	67.861765
0	key	0)	55760.711710
127	removal	3	68.461817
128	T	2	68.711890
0	key	9(	55761.679742
129	removal	2	69.311969
130	T	4	69.562014
0	key	1!	55762.447708
131	removal	4	70.162091
132	T	3	70.412121
0	key	0)	55763.255713
133	removal	3	71.012212
134	T	2	71.262263
0	key	2@	55764.103681
135	removal	2	71.862355
136	T	1	72.112393
0	key	2@	55765.015709
137	removal	1	72.712493
138	T	4	72.962523
0	key	1!	55765.951711
139	removal	4	73.562621
140	T	3	73.812664
0	key	0)	55766.679711
141	removal	3	74.412756
142	T	2	74.662794
0	key	9(	55767.583710
143	removal	2	75.262861
144	T	1	75.512941
0	key	2@	55768.367710
145	removal	1	76.112988
146	T	4	76.363058
0	key	1!	55769.271710
147	removal	4	76.963119
148	T	3	77.213158
0	key	0)	55770.103678
149	removal	3	77.813265
150	T	1	78.063289
0	key	2@	55770.903715
151	removal	1	78.663397
152	T	4	78.913443
0	key	1!	55771.799707
153	removal	4	79.513538
154	T	2	79.763569
0	key	9(	55772.647710
155	removal	2	80.363659
156	T	3	80.613706
0	key	0)	55773.479709
157	removal	3	81.213806
158	T	2	81.463846
0	key	2@	55774.335712
159	removal	2	82.063933
160	T	1	82.313971
0	key	2@	55775.191691
161	removal	1	82.914040
162	T	4	83.164104
0	key	1!	55776.095699
163	removal	4	83.764162
164	T	2	84.014206
0	key	9(	55776.903711
165	removal	2	84.614308
166	T	1	84.864343
0	key	2@	55777.719709
167	removal	1	85.464431
168	T	4	85.714470
0	key	1!	55778.591708
169	removal	4	86.314566
170	T	3	86.564616
0	key	0)	55779.463685
171	removal	3	87.164698
172	T	4	87.414747
0	key	1!	55780.359709
173	removal	4	88.014854
174	T	2	88.264878
0	key	9(	55781.119715
175	removal	2	88.864957
176	T	3	89.115018
0	key	0)	55782.031708
177	removal	3	89.715109
178	T	1	89.965147
0	key	2@	55782.775708
179	removal	1	90.565211
180	T	3	90.815280
0	key	0)	55783.615684
181	removal	3	91.415350
182	T	2	91.665392
0	key	9(	55784.679710
183	removal	2	92.265484
184	T	4	92.515527
185	removal	4	93.115624
0	key	1!	55785.623709
186	T	1	93.365657
187	removal	1	93.965729
0	key	2@	55786.455718
188	T	3	94.215782
0	key	0)	55787.071682
189	removal	3	94.815876
190	T	2	95.065915
0	key	9(	55787.991707
191	removal	2	95.666009
192	T	1	95.916059
0	key	2@	55788.831710
193	removal	1	96.516149
194	T	4	96.766158
0	key	1!	55789.687661
195	removal	4	97.366245
196	rest	+	97.616297
197	cue	R	109.616115
198	R	4	111.616389
199	removal	4	112.218553
0	key	1!	55804.679871
200	R	1	112.468578
0	key	1!	55805.311709
201	removal	1	113.068668
202	R	3	113.318706
0	key	9(	55806.223716
203	removal	3	113.918812
204	R	2	114.168848
0	key	2@	55807.039718
205	removal	2	114.768935
206	R	1	115.018988
0	key	1!	55807.919709
207	removal	1	115.619085
208	R	4	115.869090
0	key	0)	55808.791709
209	removal	4	116.469193
210	R	2	116.719255
0	key	2@	55809.615707
211	removal	2	117.319341
212	R	3	117.569367
213	removal	3	118.169451
0	key	9(	55810.695706
214	R	1	118.419505
0	key	1!	55811.255711
215	removal	1	119.019598
216	R	2	119.269620
0	key	2@	55812.087711
217	removal	2	119.869726
218	R	4	120.119744
0	key	0)	55812.991677
219	removal	4	120.719857
220	R	3	120.969884
0	key	9(	55813.863709
221	removal	3	121.569988
222	R	4	121.820020
0	key	0)	55814.823711
223	removal	4	122.420125
224	R	3	122.670156
0	key	9(	55815.527709
225	removal	3	123.270256
226	R	1	123.520304
0	key	1!	55816.351709
227	removal	1	124.120384
228	R	2	124.370425
0	key	2@	55817.151710
229	removal	2	124.970525
230	R	1	125.220547
0	key	1!	55818.007711
231	removal	1	125.820638
232	R	2	126.070680
0	key	2@	55818.839710
233	removal	2	126.670770
234	R	4	126.920814
0	key	0)	55819.679708
235	removal	4	127.520903
236	R	3	127.770944
0	key	9(	55820.567709
237	removal	3	128.371017
238	R	1	128.621068
0	key	1!	55821.455676
239	removal	1	129.221155
240	R	4	129.471189
0	key	0)	55822.231711
241	removal	4	130.071295
242	R	2	130.321352
0	key	2@	55823.055712
243	removal	2	130.921441
244	R	3	131.171446
0	key	9(	55823.935692
245	removal	3	131.771551
246	rest	+	132.021598
247	cue	S	144.021414
248	S	1	146.021662
0	key	1!	55838.999712
249	removal	1	146.623845
250	S	3	146.873875
0	key	9(	55839.751711
251	removal	3	147.473979
252	S	4	147.724012
0	key	0)	55840.511711
253	removal	4	148.324113
254	S	2	148.574134
0	key	2@	55841.287697
255	removal	2	149.174220
256	S	1	149.424283
0	key	1!	55842.159709
257	removal	1	150.024372
258	S	2	150.274418
0	key	2@	55843.039708
259	removal	2	150.874489
260	S	3	151.124518
0	key	9(	55843.879711
261	removal	3	151.724644
262	S	1	151.974656
0	key	1!	55844.719713
263	removal	1	152.574747
264	S	4	152.824774
0	key	0)	55845.591691
265	removal	4	153.424885
266	S	3	153.674929
0	key	9(	55846.463709
267	removal	3	154.275026
268	S	2	154.525058
0	key	2@	55847.223710
269	removal	2	155.125159
270	S	4	155.375185
0	key	0)	55848.143711
271	removal	4	155.975300
272	S	1	156.225303
0	key	1!	55848.983709
273	removal	1	156.825425
274	S	3	157.075449
0	key	9(	55849.847710
275	removal	3	157.675533
276	S	4	157.925584
0	key	0)	55850.687710
277	removal	4	158.525685
278	S	2	158.775703
0	key	2@	55851.503712
279	removal	2	159.375798
280	S	1	159.625829
0	key	1!	55852.367710
281	removal	1	160.225928
282	S	2	160.475977
0	key	2@	55853.247677
283	removal	2	161.076066
284	S	3	161.326121
0	key	9(	55854.071708
285	removal	3	161.926180
286	S	1	162.176238
0	key	1!	55854.919707
287	removal	1	162.776308
288	S	4	163.026380
0	key	0)	55855.759685
289	removal	4	163.626439
290	S	3	163.876499
0	key	9(	55856.631709
291	removal	3	164.476569
292	S	2	164.726626
0	key	2@	55857.375711
293	removal	2	165.326698
294	S	4	165.576745
0	key	0)	55858.335682
295	removal	4	166.176822
296	S	1	166.426895
0	key	1!	55859.175711
297	removal	1	167.026987
298	S	3	167.277009
0	key	9(	55859.999709
299	removal	3	167.877104
300	S	4	168.127138
0	key	2@	55860.815691
0	key	0)	55860.927708
301	removal	4	168.710553
302	S	2	168.960588
0	key	2@	55861.791711
303	removal	2	169.560688
304	S	1	169.810726
0	key	1!	55862.575675
305	removal	1	170.410835
306	S	2	170.660859
0	key	2@	55863.463710
307	removal	2	171.260971
308	S	3	171.510999
0	key	9(	55864.263682
309	removal	3	172.111101
310	S	1	172.361136
0	key	1!	55865.143709
311	removal	1	172.961226
312	S	4	173.211263
0	key	0)	55865.951699
313	removal	4	173.811362
314	S	3	174.061406
0	key	9(	55866.839708
315	removal	3	174.661512
316	S	2	174.911545
0	key	2@	55867.647706
317	removal	2	175.511632
318	S	4	175.761658
0	key	0)	55868.535710
319	removal	4	176.361740
320	S	1	176.611773
0	key	1!	55869.359711
321	removal	1	177.211861
322	S	3	177.461899
0	key	9(	55870.191686
323	removal	3	178.061999
324	S	4	178.312044
0	key	0)	55871.087710
325	removal	4	178.912144
326	S	2	179.162168
0	key	2@	55871.927697
327	removal	2	179.762274
328	S	1	180.012305
0	key	1!	55872.759712
329	removal	1	180.612414
330	S	2	180.862445
0	key	9(	55873.551715
331	removal	2	181.462534
332	S	3	181.712589
0	key	9(	55874.535709
333	removal	3	182.312674
334	S	1	182.562705
0	key	1!	55875.311704
335	removal	1	183.162813
336	S	4	183.412840
0	key	0)	55876.175684
337	removal	4	184.012916
338	S	3	184.262957
0	key	9(	55877.031681
339	removal	3	184.863051
340	S	2	185.113085
0	key	2@	55877.847716
341	removal	2	185.713195
342	S	4	185.963214
0	key	0)	55878.735710
343	removal	4	186.563319
344	S	1	186.813351
0	key	1!	55879.583707
345	removal	1	187.413448
346	S	3	187.663485
0	key	9(	55880.407707
347	removal	3	188.263583
348	S	4	188.513615
0	key	0)	55881.431710
349	removal	4	189.113728
350	S	2	189.363759
0	key	2@	55882.143728
351	removal	2	189.963864
352	S	1	190.213897
0	key	1!	55882.927709
353	removal	1	190.813992
354	S	2	191.064027
0	key	2@	55884.055710
355	removal	2	191.664089
356	S	3	191.914124
0	key	9(	55884.727710
357	removal	3	192.514218
358	S	1	192.764259
0	key	1!	55885.495717
359	removal	1	193.364359
360	S	4	193.614403
0	key	0)	55886.367708
361	removal	4	194.214506
362	S	3	194.464534
0	key	9(	55887.223711
363	removal	3	195.064643
364	S	2	195.314661
0	key	2@	55888.039710
365	removal	2	195.914753
366	S	4	196.164794
0	key	0)	55888.903694
367	removal	4	196.764894
368	S	1	197.014906
0	key	1!	55889.751706
369	removal	1	197.615003
370	S	3	197.865042
0	key	9(	55890.599701
371	removal	3	198.465141
372	S	4	198.715173
0	key	0)	55891.487695
373	removal	4	199.315285
374	S	2	199.565318
0	key	2@	55892.311711
375	removal	2	200.165400
376	S	1	200.415432
0	key	1!	55893.175711
377	removal	1	201.015534
378	S	2	201.265575
0	key	2@	55894.071710
379	removal	2	201.865683
380	S	3	202.115715
0	key	9(	55894.959677
381	removal	3	202.715793
382	S	1	202.965840
0	key	1!	55895.727675
383	removal	1	203.565946
384	S	4	203.815988
0	key	0)	55896.575713
385	removal	4	204.416064
