trial	type	block	visual_target	motor_target	rt	onset	duration	made_errors
1	R	1	2	2	0.764076	2.027622	0.822422	0
2	R	1	3	3	0.561698	2.877995	0.822077	0
3	R	1	1	1	0.447099	3.728651	0.821477	0
4	R	1	4	4	0.437014	4.578684	0.821410	0
5	R	1	3	3	0.354900	5.428796	0.821246	0
6	R	1	2	2	0.376491	6.279206	0.820871	0
7	R	1	4	4	0.447267	7.128440	0.821722	0
8	R	1	1	1	0.340363	7.979333	0.820756	0
9	R	1	2	2	0.330514	8.829181	0.820951	0
10	R	1	1	1	0.464053	9.679617	0.820413	0
11	R	1	3	3	0.413959	10.529739	0.820344	0
12	R	1	4	4	0.420443	11.379255	0.820870	0
13	R	1	1	1	0.354214	12.229481	0.820621	0
14	R	1	2	2	0.352603	13.079101	0.820955	0
15	R	1	4	4	0.413918	13.929789	0.820286	0
16	R	1	3	3	0.315924	14.779772	0.820250	0
17	R	1	4	4	0.345327	15.630335	0.819822	0
18	R	1	3	3	0.344075	16.479624	0.820427	0
19	R	1	1	1	0.358397	17.313309	0.836693	0
20	R	1	2	2	0.308393	18.163269	0.836731	0
21	R	1	4	4	0.346401	19.013295	0.836867	0
22	R	1	1	1	0.368262	19.863434	0.836748	0
23	R	1	3	3	0.422109	20.713561	0.836524	0
24	R	1	2	2	0.332355	21.563340	0.836722	0
1	T	2	3	4	0.566301	36.416779	0.833376	0
2	T	2	4	1	0.676400	37.266683	0.833470	0
3	T	2	2	3	0.618837	38.116219	0.833842	0
4	T	2	1	2	0.560652	38.966394	0.833777	0
5	T	2	2	3	0.677432	39.817650	0.832436	0
6	T	2	4	1	0.588655	40.666515	0.833589	0
7	T	2	1	2	0.537388	41.517691	0.832353	0
8	T	2	3	4	0.503341	42.367740	0.832303	0
9	T	2	1	2	0.557382	43.217698	0.832463	0
10	T	2	4	1	0.683519	44.067561	0.832601	0
11	T	2	3	4	0.601034	44.918079	0.832040	0
12	T	2	2	3	0.615317	45.767766	0.832318	0
13	T	2	1	2	0.725123	46.617957	0.832209	0
14	T	2	2	3	0.467219	47.467852	0.832180	0
15	T	2	4	1	0.536275	48.318853	0.831292	0
16	T	2	3	4	0.742099	49.168983	0.831164	0
17	T	2	2	3	0.604294	50.018845	0.831229	0
18	T	2	1	2	0.378224	50.868855	0.831225	0
19	T	2	3	4	0.000000	51.718493	0.831681	1
20	T	2	4	1	0.653499	52.569582	0.830488	1
21	T	2	2	3	0.652189	53.418894	0.831241	0
22	T	2	3	4	0.474427	54.268645	0.831434	0
23	T	2	4	1	0.623434	55.119650	0.830482	0
24	T	2	1	2	0.597014	55.970116	0.829995	0
25	T	2	3	4	0.666912	56.820164	0.829894	0
26	T	2	4	1	0.521125	57.669946	0.830141	0
27	T	2	1	2	0.646536	58.520530	0.829529	1
28	T	2	2	3	0.000000	59.369625	0.830491	1
29	T	2	1	2	0.000000	60.220590	0.829470	1
30	T	2	3	4	0.600297	61.070789	0.829343	0
31	T	2	4	1	0.663242	61.919840	0.830167	0
32	T	2	2	3	0.000000	62.771140	0.829023	1
33	T	2	4	1	0.000000	63.621083	0.829031	1
34	T	2	1	2	0.656449	64.470631	0.829393	1
35	T	2	2	3	0.630590	65.320470	0.829612	0
36	T	2	3	4	0.548034	66.171046	0.829035	0
37	T	2	1	2	0.594344	67.020841	0.829317	0
38	T	2	3	4	0.543288	67.871792	0.828328	0
39	T	2	2	3	0.645310	68.721772	0.828392	0
40	T	2	4	1	0.603801	69.571255	0.828749	0
41	T	2	3	4	0.753732	70.421319	0.828691	0
42	T	2	2	3	0.000000	71.271491	0.828653	1
43	T	2	1	2	0.620718	72.122361	0.827685	1
44	T	2	4	1	0.666667	72.972385	0.827671	0
45	T	2	3	4	0.624833	73.822246	0.827865	0
46	T	2	2	3	0.510687	74.672364	0.827798	0
47	T	2	1	2	0.516422	75.522651	0.827363	0
48	T	2	4	1	0.577826	76.373233	0.826895	0
49	T	2	3	4	0.496409	77.222662	0.827438	0
50	T	2	1	2	0.534189	78.072892	0.827255	0
51	T	2	4	1	0.644033	78.923028	0.826999	0
52	T	2	2	3	0.562157	79.772911	0.827095	0
53	T	2	3	4	0.720100	80.622982	0.827075	0
54	T	2	2	3	0.757842	81.473231	0.826884	0
55	T	2	1	2	0.539790	82.323287	0.826799	0
56	T	2	4	1	0.792852	83.174230	0.825805	0
57	T	2	2	3	0.639702	84.023376	0.826637	0
58	T	2	1	2	0.572325	84.874739	0.825348	0
59	T	2	4	1	0.000000	85.723824	0.826222	1
60	T	2	3	4	0.801378	86.573704	0.826466	0
61	T	2	4	1	0.566504	87.424544	0.825471	0
62	T	2	2	3	0.572379	88.274709	0.825377	0
63	T	2	3	4	0.698895	89.124187	0.825863	0
64	T	2	1	2	0.599814	89.975286	0.824770	0
65	T	2	3	4	0.622077	90.825005	0.825162	0
66	T	2	2	3	0.611600	91.675482	0.824644	0
67	T	2	4	1	0.698238	92.524839	0.825240	0
68	T	2	1	2	0.704139	93.374944	0.825170	0
69	T	2	3	4	0.685774	94.225307	0.824792	0
70	T	2	2	3	0.603711	95.075375	0.824718	0
71	T	2	1	2	0.592762	95.926307	0.823851	0
72	T	2	4	1	0.695013	96.776068	0.824036	0
1	R	3	4	4	0.000000	111.627592	0.822597	1
2	R	3	1	1	0.531747	112.477923	0.822112	1
3	R	3	3	3	0.633714	113.327984	0.822060	0
4	R	3	2	2	0.567310	114.178385	0.821786	0
5	R	3	1	1	0.525479	115.028220	0.821913	0
6	R	3	4	4	0.443284	115.878413	0.821738	0
7	R	3	2	2	0.400452	116.729245	0.820935	0
8	R	3	3	3	0.430527	117.579171	0.820861	0
9	R	3	1	1	0.388435	118.429262	0.820805	0
10	R	3	2	2	0.434593	119.279102	0.820968	0
11	R	3	4	4	0.336833	120.128832	0.821199	0
12	R	3	3	3	0.390415	120.979246	0.820855	0
13	R	3	4	4	0.411513	121.830183	0.820001	0
14	R	3	3	3	0.394089	122.679605	0.820476	0
15	R	3	1	1	0.336312	123.529393	0.820641	0
16	R	3	2	2	0.285760	124.379947	0.820098	0
17	R	3	1	1	0.364545	125.213159	0.836933	0
18	R	3	2	2	0.466289	126.063414	0.836628	0
19	R	3	4	4	0.360386	126.913296	0.836891	0
20	R	3	3	3	0.302163	127.763537	0.836548	0
21	R	3	1	1	0.300307	128.613390	0.836625	0
22	R	3	4	4	0.378439	129.463252	0.836866	0
23	R	3	2	2	0.344387	130.313309	0.836780	0
24	R	3	3	3	0.302434	131.163244	0.836784	0
1	S	4	1	1	0.457564	146.016140	0.834029	0
2	S	4	3	3	0.479066	146.866598	0.833465	0
3	S	4	4	4	0.396363	147.717335	0.832746	0
4	S	4	2	2	0.354194	148.567503	0.832647	0
5	S	4	1	1	0.368359	149.417335	0.832697	0
6	S	4	2	2	0.318052	150.267655	0.832361	0
7	S	4	3	3	0.308524	151.117173	0.832881	0
8	S	4	1	1	0.402293	151.967405	0.832671	0
9	S	4	4	4	0.400015	152.817670	0.832460	0
10	S	4	3	3	0.414002	153.667695	0.832443	0
11	S	4	2	2	0.355164	154.518514	0.831489	0
12	S	4	4	4	0.337017	155.368680	0.831339	0
13	S	4	1	1	0.303152	156.218544	0.831475	0
14	S	4	3	3	0.325642	157.068057	0.832040	0
15	S	4	4	4	0.379216	157.918479	0.831639	0
16	S	4	2	2	0.401035	158.768671	0.831446	0
17	S	4	1	1	0.407411	159.618287	0.831724	0
18	S	4	2	2	0.389220	160.468477	0.831524	0
19	S	4	3	3	0.306533	161.319172	0.830990	0
20	S	4	1	1	0.312803	162.168896	0.831126	0
21	S	4	4	4	0.286403	163.019293	0.830803	0
22	S	4	3	3	0.275709	163.869990	0.830066	0
23	S	4	2	2	0.281816	164.719882	0.830144	0
24	S	4	4	4	0.296425	165.569273	0.830834	0
25	S	4	1	1	0.310121	166.419584	0.830550	0
26	S	4	3	3	0.300193	167.269511	0.830522	0
27	S	4	4	4	0.352946	168.120759	0.829360	0
28	S	4	2	2	0.358887	168.970818	0.829212	0
29	S	4	1	1	0.340988	169.820709	0.829396	0
30	S	4	2	2	0.723202	170.670501	0.829667	1
31	S	4	3	3	0.496817	171.520852	0.829211	0
32	S	4	1	1	0.471090	172.370608	0.829527	0
33	S	4	4	4	0.292879	173.220819	0.829290	0
34	S	4	3	3	0.362152	174.071544	0.828590	0
35	S	4	2	2	0.360212	174.921486	0.828659	0
36	S	4	4	4	0.398796	175.770901	0.829253	0
37	S	4	1	1	0.348035	176.621663	0.828439	0
38	S	4	3	3	0.697503	177.472158	0.827941	1
39	S	4	4	4	0.447762	178.321933	0.828137	0
40	S	4	2	2	0.000000	179.171618	0.828469	1
41	S	4	1	1	0.435775	180.021895	0.828255	0
42	S	4	2	2	0.465655	180.872046	0.828027	0
43	S	4	3	3	0.503096	181.722602	0.827551	0
44	S	4	1	1	0.493066	182.572631	0.827377	0
45	S	4	4	4	0.362754	183.422943	0.827236	0
46	S	4	3	3	0.432543	184.273156	0.826960	0
47	S	4	2	2	0.454657	185.123002	0.827002	0
48	S	4	4	4	0.404727	185.972971	0.827104	0
49	S	4	1	1	0.346407	186.823293	0.826869	0
50	S	4	3	3	0.360928	187.672768	0.827333	0
51	S	4	4	4	0.429973	188.523733	0.826317	0
52	S	4	2	2	0.620599	189.373099	0.827053	0
53	S	4	1	1	0.506520	190.223175	0.826974	0
54	S	4	2	2	0.591888	191.073936	0.826139	0
55	S	4	3	3	0.429801	191.923896	0.826125	0
56	S	4	1	1	0.363459	192.774240	0.825787	0
57	S	4	4	4	0.377701	193.623996	0.826064	0
58	S	4	3	3	0.454974	194.474695	0.825413	0
59	S	4	2	2	0.445537	195.324124	0.825897	0
60	S	4	4	4	0.371087	196.174611	0.825396	0
61	S	4	1	1	0.336447	197.025219	0.824794	0
62	S	4	3	3	0.423280	197.874417	0.825614	0
63	S	4	4	4	0.404257	198.725438	0.824606	0
64	S	4	2	2	0.378013	199.575685	0.824417	0
65	S	4	1	1	0.352360	200.425340	0.824806	0
66	S	4	2	2	0.390303	201.275394	0.824713	0
67	S	4	3	3	0.364846	202.124851	0.825175	0
68	S	4	1	1	0.330167	202.975530	0.824630	0
69	S	4	4	4	0.351834	203.825861	0.824160	0
70	S	4	3	3	0.310081	204.675586	0.824442	0
71	S	4	2	2	0.444329	205.525361	0.824823	0
72	S	4	4	4	0.450219	206.375480	0.824537	0
1	R	5	1	1	0.612961	221.228740	0.821399	0
2	R	5	4	4	0.395814	222.077854	0.822170	0
3	R	5	2	2	0.585326	222.928453	0.821559	0
4	R	5	3	3	0.390877	223.778818	0.821328	0
5	R	5	2	2	0.804768	224.628926	0.821143	1
6	R	5	3	3	0.562420	225.479277	0.820885	0
7	R	5	1	1	0.392913	226.328772	0.821390	0
8	R	5	4	4	0.613882	227.179825	0.820288	0
9	R	5	3	3	0.572601	228.029147	0.820931	0
10	R	5	4	4	0.465896	228.879773	0.820385	0
11	R	5	2	2	0.392670	229.729028	0.821088	0
12	R	5	1	1	0.342230	230.579467	0.820547	0
13	R	5	2	2	0.347919	231.429779	0.820267	0
14	R	5	1	1	0.418377	232.279319	0.820708	0
15	R	5	3	3	0.408544	233.113153	0.836888	0
16	R	5	4	4	0.350550	233.963146	0.836934	0
17	R	5	2	2	0.444635	234.813062	0.837076	0
18	R	5	1	1	0.370493	235.663203	0.836955	0
19	R	5	3	3	0.328477	236.513221	0.836915	0
20	R	5	4	4	0.382566	237.363131	0.836938	0
21	R	5	2	2	0.444625	238.213071	0.836997	0
22	R	5	3	3	0.521991	239.063708	0.836388	0
23	R	5	1	1	0.407967	239.913730	0.836381	0
24	R	5	4	4	0.589813	240.763873	0.836169	0
1	S	6	2	2	0.624237	255.617457	0.832677	0
2	S	6	1	1	0.478315	256.467380	0.832744	0
3	S	6	2	2	0.404109	257.317595	0.832549	0
4	S	6	3	3	0.418223	258.167474	0.832625	0
5	S	6	1	1	0.384064	259.017633	0.832489	0
6	S	6	4	4	0.422192	259.867496	0.832612	0
7	S	6	3	3	0.000000	260.717340	0.832662	1
8	S	6	2	2	0.457478	261.568218	0.831844	0
9	S	6	4	4	0.384370	262.417330	0.832767	0
10	S	6	1	1	0.341155	263.268542	0.831503	0
11	S	6	3	3	0.403392	264.118314	0.831746	0
12	S	6	4	4	0.385233	264.968432	0.831759	0
13	S	6	2	2	0.414954	265.818746	0.831389	0
14	S	6	1	1	0.396951	266.668744	0.831414	0
15	S	6	2	2	0.306382	267.519355	0.830767	0
16	S	6	3	3	0.320580	268.369084	0.830917	0
17	S	6	1	1	0.438149	269.219550	0.830561	0
18	S	6	4	4	0.429093	270.068604	0.831533	0
19	S	6	3	3	0.458345	270.919349	0.830775	0
20	S	6	2	2	0.432518	271.769180	0.830934	0
21	S	6	4	4	0.414568	272.619130	0.830910	0
22	S	6	1	1	0.340425	273.469273	0.830771	0
23	S	6	3	3	0.313229	274.320457	0.829656	0
24	S	6	4	4	0.383992	275.169706	0.830312	0
25	S	6	2	2	0.357096	276.020601	0.829408	0
26	S	6	1	1	0.403344	276.870354	0.829797	0
27	S	6	2	2	0.408785	277.720913	0.829129	0
28	S	6	3	3	0.342896	278.570784	0.829371	0
29	S	6	1	1	0.364937	279.420760	0.829338	0
30	S	6	4	4	0.274981	280.270706	0.829343	0
31	S	6	3	3	0.312809	281.120859	0.829185	0
32	S	6	2	2	0.343305	281.970389	0.829783	0
33	S	6	4	4	0.356866	282.820833	0.829349	0
34	S	6	1	1	0.314800	283.670897	0.829126	0
35	S	6	3	3	0.424722	284.520976	0.829163	0
36	S	6	4	4	0.429508	285.372139	0.827930	0
37	S	6	2	2	0.675963	286.221738	0.828350	0
38	S	6	1	1	0.450022	287.071628	0.828530	0
39	S	6	2	2	0.551749	287.921949	0.828223	0
40	S	6	3	3	0.453629	288.772077	0.827942	0
41	S	6	1	1	0.506974	289.622724	0.827358	0
42	S	6	4	4	0.408741	290.472959	0.827098	0
43	S	6	3	3	0.367599	291.322101	0.827916	0
44	S	6	2	2	0.469141	292.172558	0.827476	0
45	S	6	4	4	0.435171	293.022529	0.827532	0
46	S	6	1	1	0.376518	293.873180	0.826822	0
47	S	6	3	3	0.406343	294.723357	0.826702	0
48	S	6	4	4	0.492109	295.573591	0.826574	0
49	S	6	2	2	0.402067	296.423631	0.826547	0
50	S	6	1	1	0.328629	297.273069	0.827001	0
51	S	6	2	2	0.342773	298.122925	0.827156	0
52	S	6	3	3	0.299942	298.973756	0.826415	0
53	S	6	1	1	0.457383	299.824312	0.825856	0
54	S	6	4	4	0.344113	300.673574	0.826463	0
55	S	6	3	3	0.350037	301.523660	0.826456	0
56	S	6	2	2	0.331278	302.374392	0.825663	0
57	S	6	4	4	0.377517	303.224181	0.825928	0
58	S	6	1	1	0.367389	304.074309	0.825807	0
59	S	6	3	3	0.364977	304.924718	0.825363	0
60	S	6	4	4	0.418801	305.774897	0.825284	0
61	S	6	2	2	0.360731	306.624956	0.825087	0
62	S	6	1	1	0.287321	307.474344	0.825867	0
63	S	6	2	2	0.268665	308.325004	0.825177	0
64	S	6	3	3	0.313947	309.175724	0.824305	0
65	S	6	1	1	0.312801	310.024899	0.825227	0
66	S	6	4	4	0.000000	310.875889	0.824120	1
67	S	6	3	3	0.396069	311.725630	0.824572	0
68	S	6	2	2	0.441670	312.576016	0.824086	0
69	S	6	4	4	0.367318	313.426348	0.823716	0
70	S	6	1	1	0.318239	314.275461	0.824562	0
71	S	6	3	3	0.363148	315.126552	0.823539	0
72	S	6	4	4	0.361270	315.976427	0.823702	0
1	R	7	2	2	0.596935	330.828811	0.821193	0
2	R	7	1	1	0.523508	331.678191	0.821878	0
3	R	7	4	4	0.448728	332.528969	0.821194	0
4	R	7	3	3	0.382434	333.379275	0.820867	0
5	R	7	2	2	0.364162	334.229535	0.820492	0
6	R	7	1	1	0.322944	335.078750	0.821252	0
7	R	7	4	4	0.328165	335.929533	0.820599	0
8	R	7	3	3	0.334633	336.779042	0.821038	0
9	R	7	4	4	0.411559	337.630131	0.819907	0
10	R	7	1	1	0.393994	338.479707	0.820428	0
11	R	7	2	2	0.343985	339.329716	0.820310	0
12	R	7	3	3	0.286778	340.162926	0.837181	0
13	R	7	1	1	0.316727	341.012967	0.837215	0
14	R	7	4	4	0.313465	341.880234	0.819836	0
15	R	7	3	3	0.328452	342.713246	0.836936	0
16	R	7	2	2	0.334591	343.563105	0.836996	0
17	R	7	3	3	0.476682	344.413044	0.837111	0
18	R	7	2	2	0.386635	345.263062	0.837050	0
19	R	7	4	4	0.336689	346.112981	0.837075	0
20	R	7	1	1	0.286098	346.963601	0.836434	0
21	R	7	2	2	0.354702	347.814964	0.835197	0
22	R	7	1	1	0.401915	348.663784	0.836384	0
23	R	7	4	4	0.390517	349.515182	0.834977	0
24	R	7	3	3	0.292583	350.365118	0.835002	0
1	T	8	1	2	0.520628	365.217062	0.833078	0
2	T	8	2	3	0.606626	366.067073	0.833026	0
3	T	8	4	1	0.596394	366.917301	0.832793	0
4	T	8	3	4	0.482341	367.767353	0.832692	0
5	T	8	1	2	0.504410	368.617290	0.832804	0
6	T	8	3	4	0.510338	369.467362	0.832812	0
7	T	8	2	3	0.556322	370.317363	0.832668	0
8	T	8	4	1	0.578273	371.167424	0.832738	0
9	T	8	3	4	0.503089	372.018560	0.831594	0
10	T	8	2	3	0.613112	372.868599	0.831574	0
11	T	8	1	2	0.435867	373.717832	0.832299	0
12	T	8	4	1	0.497195	374.568502	0.831571	0
13	T	8	2	3	0.607147	375.418563	0.831615	0
14	T	8	1	2	0.413555	376.268152	0.831947	0
15	T	8	3	4	0.490407	377.119293	0.830911	0
16	T	8	4	1	0.529193	377.968506	0.831659	0
17	T	8	1	2	0.534194	378.819513	0.830505	0
18	T	8	2	3	0.000000	379.669317	0.830825	1
19	T	8	4	1	0.514151	380.519548	0.830458	0
20	T	8	3	4	0.592159	381.369571	0.830463	0
21	T	8	1	2	0.542525	382.219173	0.830881	0
22	T	8	4	1	0.499309	383.070388	0.829649	0
23	T	8	3	4	0.666056	383.919644	0.830470	0
24	T	8	2	3	0.551208	384.770489	0.829610	0
25	T	8	4	1	0.565021	385.620678	0.829418	0
26	T	8	3	4	0.571232	386.470465	0.829638	0
27	T	8	2	3	0.569295	387.320403	0.829724	0
28	T	8	1	2	0.535269	388.170429	0.829720	0
29	T	8	3	4	0.516929	389.020748	0.829261	0
30	T	8	1	2	0.490641	389.871057	0.829011	0
31	T	8	2	3	0.568366	390.721328	0.828726	0
32	T	8	4	1	0.583234	391.570634	0.829443	0
33	T	8	3	4	0.700704	392.420995	0.829120	0
34	T	8	2	3	0.554314	393.271389	0.828684	0
35	T	8	1	2	0.424340	394.121359	0.828785	0
36	T	8	4	1	0.629828	394.971870	0.828224	0
37	T	8	2	3	0.571885	395.821810	0.828286	0
38	T	8	4	1	0.601948	396.671745	0.828393	0
39	T	8	1	2	0.728112	397.521589	0.828452	0
40	T	8	3	4	0.628920	398.372753	0.827355	0
41	T	8	1	2	0.515313	399.222385	0.827754	0
42	T	8	4	1	0.601262	400.072451	0.827605	0
43	T	8	3	4	0.590850	400.922830	0.827293	0
44	T	8	2	3	0.517015	401.772655	0.827431	0
45	T	8	4	1	0.499067	402.622634	0.827376	0
46	T	8	1	2	0.560460	403.473238	0.826830	0
47	T	8	2	3	0.606013	404.323685	0.826378	0
48	T	8	3	4	0.500232	405.173466	0.826682	0
49	T	8	1	2	0.489805	406.023847	0.826296	0
50	T	8	3	4	0.504678	406.873021	0.826981	0
51	T	8	2	3	0.661723	407.723977	0.826064	0
52	T	8	4	1	0.644264	408.573436	0.826676	0
53	T	8	1	2	0.569899	409.423797	0.826282	0
54	T	8	4	1	0.639154	410.274544	0.825457	0
55	T	8	3	4	0.582185	411.123630	0.826408	0
56	T	8	2	3	0.571953	411.973744	0.826396	0
57	T	8	3	4	0.000000	412.824866	0.825312	1
58	T	8	4	1	0.000000	413.674638	0.825500	1
59	T	8	1	2	0.148993	414.524673	0.825371	0
60	T	8	2	3	0.000000	415.374320	0.825799	1
61	T	8	1	2	0.705299	416.224400	0.825736	0
62	T	8	3	4	0.574809	417.074887	0.825162	0
63	T	8	2	3	0.587837	417.925902	0.824132	0
64	T	8	4	1	0.617876	418.775821	0.824299	0
65	T	8	2	3	0.552301	419.625401	0.824769	0
66	T	8	3	4	0.710106	420.475601	0.824529	0
67	T	8	1	2	0.564561	421.325135	0.824906	0
68	T	8	4	1	0.593656	422.176099	0.824011	0
69	T	8	1	2	0.520227	423.025482	0.824578	0
70	T	8	4	1	0.486097	423.875610	0.824587	0
71	T	8	3	4	0.459794	424.725913	0.824174	0
72	T	8	2	3	0.553431	425.576267	0.823873	0
1	R	9	4	4	0.573284	440.428567	0.821539	0
2	R	9	3	3	0.467251	441.278446	0.821727	0
3	R	9	2	2	0.472500	442.129146	0.820982	0
4	R	9	1	1	0.358899	442.978806	0.821344	0
5	R	9	3	3	0.413106	443.828565	0.821531	0
6	R	9	4	4	0.378453	444.679245	0.820788	0
7	R	9	1	1	0.432683	445.529016	0.821104	0
8	R	9	2	2	0.454299	446.379400	0.820623	0
9	R	9	1	1	0.483925	447.229773	0.820383	0
10	R	9	4	4	0.370014	448.079654	0.820463	0
11	R	9	3	3	0.368779	448.912923	0.837120	0
12	R	9	2	2	0.342794	449.762904	0.837121	0
13	R	9	3	3	0.412749	450.612950	0.837058	0
14	R	9	2	2	0.426840	451.462859	0.837218	0
15	R	9	1	1	0.416848	452.312847	0.837165	0
16	R	9	4	4	0.390796	453.162901	0.837239	0
17	R	9	2	2	0.364744	454.012956	0.837048	0
18	R	9	3	3	0.330197	454.863509	0.836533	0
19	R	9	1	1	0.383775	455.713877	0.836150	0
20	R	9	4	4	0.364941	456.564757	0.835262	0
21	R	9	3	3	0.434705	457.414973	0.835195	0
22	R	9	4	4	0.440515	458.265184	0.834952	0
23	R	9	1	1	0.438730	459.114969	0.835197	0
24	R	9	2	2	0.436610	459.965089	0.834981	0
